,location,size,total_sqft,bath,price,bhk,price_per_sqft
1723,Mysore Road,2 BHK,980.0,2.0,45.47,2,4639
1724,Sarjapur  Road,2 BHK,1000.0,2.0,40.0,2,4000
1725,Sarjapur  Road,2 BHK,1050.0,2.0,62.0,2,5904
1726,Bannerghatta,3 Bedroom,2611.0,3.0,239.0,3,9153
1727,Domlur,3 BHK,1875.0,2.0,150.0,3,8000
1728,Hennur Road,2 BHK,1065.0,2.0,42.6,2,4000
1729,Sanjay nagar,3 BHK,1800.0,3.0,180.0,3,10000
1730,Sector 7 HSR Layout,2 BHK,1163.0,2.0,98.86,2,8500
1731,Tumkur Road,2 BHK,1098.0,2.0,72.0,2,6557
1732,5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797
1733,Whitefield,4 Bedroom,4000.0,4.0,330.0,4,8250
1734,Thubarahalli,2 BHK,1128.0,2.0,75.0,2,6648
1735,other,8 Bedroom,1320.0,6.0,200.0,8,15151
1736,Yelahanka,3 BHK,1705.0,3.0,74.16,3,4349
1737,Thigalarapalya,2 BHK,1418.0,2.0,95.0,2,6699
1738,Ramamurthy Nagar,3 Bedroom,1500.0,3.0,160.0,3,10666
1739,Hebbal,2 BHK,1100.0,2.0,50.0,2,4545
1740,other,3 BHK,1464.0,3.0,56.0,3,3825
1741,Hebbal,2 BHK,812.0,2.0,55.0,2,6773
1742,other,2 BHK,1280.0,2.0,40.0,2,3125
1743,Whitefield,2 BHK,1420.0,2.0,136.0,2,9577
1744,other,11 Bedroom,1200.0,11.0,170.0,11,14166
1745,other,6 Bedroom,727.0,6.0,66.0,6,9078
1746,Banashankari Stage II,4 Bedroom,1200.0,2.0,150.0,4,12500
1747,Old Airport Road,4 BHK,2774.0,4.0,207.0,4,7462
1748,other,3 BHK,2000.0,3.0,85.0,3,4250
1749,HBR Layout,3 BHK,1722.0,3.0,95.0,3,5516
1750,Indira Nagar,3 BHK,2800.0,3.0,330.0,3,11785
1751,other,3 BHK,1650.0,3.0,175.0,3,10606
1752,other,2 BHK,840.0,2.0,27.0,2,3214
1753,Jigani,2 BHK,914.0,2.0,47.0,2,5142
1754,Hennur Road,3 BHK,1482.0,2.0,83.73,3,5649
1755,Kundalahalli,3 BHK,1724.0,3.0,127.0,3,7366
1756,other,3 BHK,1670.0,3.0,91.86,3,5500
1757,Banaswadi,2 BHK,1184.0,2.0,53.0,2,4476
1758,Kodigehaali,2 BHK,1200.0,2.0,55.0,2,4583
1759,TC Palaya,2 Bedroom,1200.0,2.0,65.0,2,5416
1760,Jigani,2 BHK,927.0,2.0,55.0,2,5933
1761,other,2 BHK,1242.0,2.0,39.7,2,3196
1762,Electronic City Phase II,3 BHK,1220.0,3.0,35.23,3,2887
1763,Electronic City,3 BHK,1360.0,2.0,75.0,3,5514
1764,Brookefield,4 Bedroom,2800.0,4.0,240.0,4,8571
1765,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101
1766,Whitefield,3 BHK,1697.0,3.0,108.0,3,6364
1767,Yelahanka New Town,2 BHK,550.0,2.0,26.0,2,4727
1768,Hennur,2 BHK,1225.0,2.0,57.0,2,4653
1769,other,3 BHK,1690.0,2.0,55.0,3,3254
1770,other,10 Bedroom,1660.0,10.0,475.0,10,28614
1771,other,3 BHK,1488.0,3.0,57.0,3,3830
1772,other,3 BHK,1250.0,2.0,80.0,3,6400
1773,JP Nagar,1 BHK,1050.0,1.0,44.0,1,4190
1774,HSR Layout,2 BHK,1027.0,2.0,44.0,2,4284
1775,Kanakpura Road,3 BHK,1699.0,3.0,81.94,3,4822
1776,Whitefield,2 BHK,1205.0,2.0,58.0,2,4813
1777,other,4 Bedroom,712.0,2.0,67.5,4,9480
1778,Horamavu Agara,2 BHK,950.0,2.0,39.0,2,4105
1779,TC Palaya,2 Bedroom,1200.0,2.0,70.0,2,5833
1780,Akshaya Nagar,3 BHK,1476.0,3.0,120.0,3,8130
1781,CV Raman Nagar,2 BHK,1070.0,2.0,55.0,2,5140
1782,EPIP Zone,3 BHK,2160.0,4.0,172.0,3,7962
1783,Sector 2 HSR Layout,2 BHK,1296.0,2.0,75.0,2,5787
1784,Chikkalasandra,2 Bedroom,1800.0,1.0,128.0,2,7111
1785,Kanakpura Road,3 BHK,1570.0,3.0,64.5,3,4108
1786,Koramangala,2 BHK,1300.0,2.0,110.0,2,8461
1787,Sarjapur,4 BHK,1550.0,2.0,65.0,4,4193
1788,Electronic City,2 BHK,770.0,1.0,40.0,2,5194
1789,Jalahalli,3 BHK,1870.0,3.0,110.0,3,5882
1790,other,3 Bedroom,1650.0,4.0,160.0,3,9696
1791,Domlur,3 BHK,1429.0,3.0,86.0,3,6018
1792,Babusapalaya,3 BHK,1167.0,2.0,39.98,3,3425
1793,Bommasandra,2 BHK,1035.0,2.0,41.73,2,4031
1794,Kengeri,3 BHK,1188.0,2.0,38.0,3,3198
1795,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,285.0,5,23750
1796,Nagarbhavi,1 BHK,884.0,2.0,36.0,1,4072
1797,Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852
1798,Hoodi,2 BHK,1026.0,2.0,60.87,2,5932
1799,Shivaji Nagar,7 Bedroom,1400.0,6.0,200.0,7,14285
1800,Kaikondrahalli,2 BHK,1115.0,2.0,50.0,2,4484
1801,Hebbal Kempapura,2 Bedroom,1200.0,2.0,125.0,2,10416
1802,Old Airport Road,4 BHK,2690.0,4.0,191.0,4,7100
1803,Subramanyapura,2 BHK,975.0,2.0,58.0,2,5948
1804,Hosa Road,3 Bedroom,675.0,3.0,72.5,3,10740
1805,Chamrajpet,4 BHK,1900.0,2.0,170.0,4,8947
1806,Banashankari,3 Bedroom,600.0,3.0,100.0,3,16666
1807,OMBR Layout,2 BHK,1101.0,2.0,65.5,2,5949
1808,Sarjapur  Road,3 BHK,1700.0,3.0,135.0,3,7941
1809,Whitefield,4 BHK,3606.0,4.0,312.0,4,8652
1810,Padmanabhanagar,2 BHK,1258.0,2.0,115.0,2,9141
1811,Kanakpura Road,3 BHK,1560.0,3.0,92.0,3,5897
1812,Old Madras Road,4 BHK,3630.0,6.0,195.0,4,5371
1813,JP Nagar,3 BHK,2000.0,3.0,250.0,3,12500
1814,Hebbal,4 BHK,2790.0,4.0,198.0,4,7096
1815,Badavala Nagar,3 BHK,1494.0,2.0,94.55,3,6328
1816,Hennur Road,3 BHK,1482.0,2.0,87.0,3,5870
1817,other,2 BHK,800.0,2.0,50.0,2,6250
1818,Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,47.39,2,3999
1819,Hulimavu,2 BHK,1100.0,2.0,71.5,2,6500
1820,NRI Layout,2 Bedroom,1300.0,2.0,120.0,2,9230
1821,other,2 BHK,1225.0,2.0,150.0,2,12244
1822,Hulimavu,3 BHK,1758.0,3.0,65.0,3,3697
1823,Banaswadi,2 BHK,1145.0,2.0,55.0,2,4803
1824,Hormavu,2 BHK,1180.0,2.0,50.0,2,4237
1825,other,2 BHK,1260.0,2.0,58.0,2,4603
1826,Arekere,2 BHK,1190.0,2.0,55.0,2,4621
1827,Sarjapur  Road,3 BHK,1691.0,3.0,119.0,3,7037
1828,other,4 BHK,3675.0,4.0,367.0,4,9986
1829,Frazer Town,3 BHK,1305.0,3.0,95.45,3,7314
1830,Basavangudi,3 BHK,2337.0,4.0,292.0,3,12494
1831,other,2 Bedroom,1200.0,2.0,150.0,2,12500
1832,Domlur,2 BHK,1206.0,2.0,217.0,2,17993
1833,other,5 Bedroom,1350.0,4.0,130.0,5,9629
1834,Kogilu,2 BHK,1140.0,2.0,50.66,2,4443
1835,other,2 BHK,1250.0,2.0,65.0,2,5200
1836,other,3 Bedroom,600.0,2.0,60.0,3,10000
1837,other,2 BHK,1225.0,2.0,48.0,2,3918
1838,Kereguddadahalli,2 BHK,800.0,2.0,28.0,2,3500
1839,Jalahalli East,2 BHK,1020.0,2.0,58.0,2,5686
1840,TC Palaya,4 Bedroom,2100.0,2.0,50.0,4,2380
1841,other,2 Bedroom,1350.0,2.0,80.0,2,5925
1842,Anekal,2 BHK,925.0,2.0,40.0,2,4324
1843,Yelachenahalli,4 Bedroom,1800.0,3.0,220.0,4,12222
1844,other,3 Bedroom,2000.0,3.0,100.0,3,5000
1845,Frazer Town,3 BHK,1510.0,2.0,75.0,3,4966
1846,Kasavanhalli,5 Bedroom,5800.0,7.0,1200.0,5,20689
1847,other,3 BHK,1614.0,3.0,110.0,3,6815
1848,Yeshwanthpur,3 Bedroom,682.0,2.0,130.0,3,19061
1849,Gottigere,2 Bedroom,1200.0,2.0,95.0,2,7916
1850,TC Palaya,2 Bedroom,900.0,2.0,55.0,2,6111
1851,Bommenahalli,4 Bedroom,1632.0,3.0,145.0,4,8884
1852,OMBR Layout,2 BHK,1041.0,2.0,65.5,2,6292
1853,7th Phase JP Nagar,6 BHK,5080.0,7.0,450.0,6,8858
1854,Bannerghatta,4 BHK,3012.0,6.0,250.0,4,8300
1855,Marathahalli,3 BHK,1530.0,3.0,74.5,3,4869
1856,Sector 2 HSR Layout,3 BHK,1450.0,2.0,135.0,3,9310
1857,Bannerghatta Road,2 BHK,1200.0,2.0,75.0,2,6250
1858,Sahakara Nagar,4 Bedroom,1200.0,4.0,130.0,4,10833
1859,Hosur Road,3 BHK,1508.0,2.0,110.0,3,7294
1860,other,7 BHK,600.0,7.0,106.0,7,17666
1861,other,2 BHK,1188.0,2.0,73.0,2,6144
1862,Old Airport Road,4 BHK,2690.0,4.0,199.0,4,7397
1863,Harlur,2 BHK,1174.0,2.0,76.0,2,6473
1864,Old Madras Road,3 BHK,1350.0,3.0,58.99,3,4369
1865,Frazer Town,3 BHK,1870.0,3.0,185.0,3,9893
1866,Kengeri Satellite Town,2 BHK,1072.0,2.0,25.0,2,2332
1868,Kengeri,2 BHK,726.0,2.0,31.0,2,4269
1869,Hosur Road,2 BHK,1345.0,2.0,106.0,2,7881
1870,Begur Road,2 BHK,1200.0,2.0,45.0,2,3750
1871,Nagavarapalya,2 BHK,980.0,2.0,37.0,2,3775
1872,Hormavu,2 BHK,1050.0,2.0,77.0,2,7333
1873,Uttarahalli,2 BHK,993.0,2.0,39.71,2,3998
1874,7th Phase JP Nagar,3 BHK,1300.0,2.0,52.0,3,4000
1875,Vittasandra,3 BHK,1743.0,3.0,85.0,3,4876
1876,Whitefield,4 Bedroom,1204.0,4.0,125.0,4,10382
1877,Hormavu,2 Bedroom,1200.0,2.0,67.0,2,5583
1878,other,3 BHK,1480.0,3.0,90.0,3,6081
1879,Sarjapur,2 BHK,950.0,2.0,32.5,2,3421
1880,Domlur,1 BHK,640.0,1.0,55.0,1,8593
1881,Electronic City Phase II,2 BHK,972.0,2.0,44.0,2,4526
1882,Marathahalli,3 BHK,1840.0,3.0,98.0,3,5326
1883,Electronic City,2 BHK,1128.0,2.0,64.0,2,5673
1884,other,2 Bedroom,680.0,2.0,42.0,2,6176
1885,other,2 Bedroom,2400.0,2.0,95.0,2,3958
1886,other,2 BHK,1045.0,2.0,42.0,2,4019
1887,other,2 BHK,955.0,2.0,53.55,2,5607
1888,Doddakallasandra,3 BHK,1360.0,2.0,54.39,3,3999
1889,BTM Layout,2 BHK,1150.0,2.0,63.0,2,5478
1890,Hennur Road,4 Bedroom,3450.0,4.0,294.0,4,8521
1891,other,2 BHK,1115.0,2.0,56.87,2,5100
1892,Jigani,2 BHK,920.0,2.0,46.0,2,5000
1893,Bommasandra Industrial Area,2 BHK,1030.0,2.0,41.0,2,3980
1894,Thanisandra,3 BHK,1564.0,3.0,101.0,3,6457
1895,Uttarahalli,2 BHK,1045.0,2.0,45.0,2,4306
1896,Hegde Nagar,4 Bedroom,1200.0,4.0,83.0,4,6916
1897,Subramanyapura,2 BHK,1277.0,2.0,55.0,2,4306
1898,other,3 BHK,2479.13,3.0,215.0,3,8672
1899,Sarjapur  Road,3 BHK,1846.0,3.0,140.0,3,7583
1900,other,2 BHK,1100.0,2.0,106.0,2,9636
1901,other,3 BHK,1690.0,3.0,75.0,3,4437
1902,Hormavu,2 Bedroom,1200.0,3.0,70.0,2,5833
1903,Yelahanka,4 Bedroom,3042.0,4.0,131.0,4,4306
1904,Rajaji Nagar,3 BHK,1640.0,3.0,223.0,3,13597
1905,other,2 BHK,1068.0,2.0,40.05,2,3750
1906,Kanakpura Road,2 BHK,1135.0,2.0,58.0,2,5110
1907,other,3 BHK,1925.0,3.0,120.0,3,6233
1908,Begur Road,3 BHK,1615.0,3.0,60.0,3,3715
1909,other,1 BHK,650.0,1.0,26.0,1,4000
1910,other,9 Bedroom,1200.0,9.0,120.0,9,10000
1911,Kaggadasapura,2 BHK,1150.0,2.0,42.0,2,3652
1912,Kothannur,6 Bedroom,930.0,6.0,135.0,6,14516
1913,other,3 BHK,1410.0,2.0,45.12,3,3200
1914,6th Phase JP Nagar,3 Bedroom,600.0,2.0,100.0,3,16666
1915,other,3 BHK,2000.0,3.0,207.0,3,10350
1916,Tumkur Road,3 BHK,1354.0,3.0,90.0,3,6646
1917,other,2 Bedroom,1050.0,2.0,110.0,2,10476
1918,Arekere,1 BHK,600.0,1.0,28.0,1,4666
1919,Varthur,4 Bedroom,1320.0,2.0,110.0,4,8333
1920,Koramangala,3 BHK,1600.0,3.0,88.0,3,5500
1921,Kanakpura Road,4 Bedroom,3500.0,6.0,225.0,4,6428
1922,GM Palaya,2 BHK,1000.0,2.0,36.0,2,3600
1923,other,3 BHK,1130.0,3.0,38.0,3,3362
1924,Vittasandra,2 BHK,1238.0,2.0,67.0,2,5411
1925,other,3 BHK,2204.0,2.0,305.0,3,13838
1926,KR Puram,8 Bedroom,1200.0,12.0,110.0,8,9166
1927,Kudlu Gate,3 BHK,1364.0,2.0,46.38,3,3400
1928,other,2 BHK,900.0,2.0,45.0,2,5000
1929,Gubbalala,3 BHK,1745.0,3.0,104.0,3,5959
1930,Kogilu,2 BHK,1200.0,2.0,53.33,2,4444
1931,Kanakapura,2 BHK,1020.0,2.0,42.83,2,4199
1932,Banashankari Stage III,3 BHK,1650.0,3.0,118.0,3,7151
1933,other,3 BHK,1550.0,2.0,70.0,3,4516
1934,5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166
1935,Sarjapura - Attibele Road,3 BHK,1329.0,2.0,45.95,3,3457
1936,other,2 BHK,916.0,2.0,42.0,2,4585
1937,Hulimavu,1 BHK,688.0,1.0,50.0,1,7267
1938,other,3 BHK,1358.0,3.0,50.0,3,3681
1939,Kanakpura Road,2 BHK,1331.0,2.0,107.0,2,8039
1940,Malleshwaram,1 BHK,686.0,1.0,62.5,1,9110
1941,Hoodi,2 BHK,1050.0,2.0,50.0,2,4761
1942,Talaghattapura,3 BHK,2106.0,3.0,126.0,3,5982
1943,Bhoganhalli,3 BHK,1718.0,3.0,90.2,3,5250
1944,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,57.0,3,3725
1945,5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643
1946,Hebbal,2 BHK,1075.0,2.0,52.0,2,4837
1947,Sarjapur  Road,3 Bedroom,1200.0,3.0,95.0,3,7916
1948,other,3 BHK,1936.0,2.0,54.21,3,2800
1949,Nagavara,4 BHK,2172.65,3.0,120.0,4,5523
1950,Sahakara Nagar,3 BHK,1100.0,2.0,75.0,3,6818
1951,BTM 2nd Stage,3 Bedroom,1260.0,5.0,185.0,3,14682
1952,other,8 Bedroom,990.0,12.0,120.0,8,12121
1953,Jalahalli East,3 Bedroom,800.0,2.0,80.0,3,10000
1954,Sarjapur  Road,2 BHK,1117.0,2.0,29.99,2,2684
1955,other,3 BHK,1685.0,2.0,110.0,3,6528
1956,CV Raman Nagar,2 BHK,740.0,2.0,37.0,2,5000
1957,Chamrajpet,4 Bedroom,1080.0,4.0,250.0,4,23148
1958,Magadi Road,4 Bedroom,1500.0,2.0,93.0,4,6200
1959,Banashankari,3 BHK,1800.0,3.0,115.0,3,6388
1960,Yelachenahalli,3 BHK,1700.0,3.0,130.0,3,7647
1961,Uttarahalli,2 BHK,850.0,2.0,37.93,2,4462
1962,Hennur Road,3 BHK,1891.0,3.0,139.0,3,7350
1963,Jalahalli,2 BHK,1400.0,1.0,80.0,2,5714
1964,Lakshminarayana Pura,2 BHK,1172.0,2.0,82.0,2,6996
1965,Electronic City Phase II,3 BHK,1400.0,2.0,40.43,3,2887
1966,Sonnenahalli,2 BHK,896.0,2.0,43.75,2,4882
1967,Vijayanagar,2 BHK,1180.0,2.0,65.0,2,5508
1968,Basaveshwara Nagar,7 Bedroom,2460.0,7.0,350.0,7,14227
1969,other,2 BHK,850.0,2.0,33.0,2,3882
1970,Anekal,1 BHK,530.0,1.0,18.0,1,3396
1971,other,3 BHK,1550.0,3.0,110.0,3,7096
1972,Kanakapura,3 BHK,1699.0,3.0,97.0,3,5709
1973,Bellandur,4 BHK,2025.0,4.0,109.0,4,5382
1974,Ananth Nagar,1 BHK,500.0,2.0,14.0,1,2800
1975,other,1 BHK,500.0,1.0,20.0,1,4000
1976,other,2 BHK,1146.0,2.0,38.5,2,3359
1977,Malleshwaram,3 BHK,2475.0,4.0,332.0,3,13414
1978,Haralur Road,2 BHK,1455.0,2.0,145.0,2,9965
1979,Seegehalli,2 Bedroom,800.0,1.0,50.0,2,6250
1980,Abbigere,1 BHK,765.0,2.0,30.0,1,3921
1981,Lingadheeranahalli,3 BHK,1521.0,3.0,94.99,3,6245
1982,Gottigere,3 BHK,1600.0,2.0,55.0,3,3437
1983,other,3 BHK,3155.0,4.0,370.0,3,11727
1984,Hebbal Kempapura,3 BHK,2900.0,4.0,240.0,3,8275
1985,other,3 BHK,1765.0,3.0,105.0,3,5949
1986,Kasavanhalli,3 BHK,1980.0,3.0,88.0,3,4444
1987,Amruthahalli,3 Bedroom,1900.0,3.0,135.0,3,7105
1988,other,2 BHK,1265.0,2.0,70.0,2,5533
1989,Bommasandra,2 BHK,1034.0,2.0,40.0,2,3868
1990,other,2 BHK,1012.0,2.0,59.0,2,5830
1991,Electronic City,2 BHK,1070.0,2.0,54.0,2,5046
1992,Mahadevpura,4 Bedroom,3555.0,4.0,230.0,4,6469
1993,5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511
1994,Yeshwanthpur,2 Bedroom,585.0,1.0,70.0,2,11965
1995,other,3 BHK,2045.0,4.0,154.0,3,7530
1996,Bellandur,3 BHK,1490.0,2.0,98.0,3,6577
1997,Banaswadi,7 Bedroom,6150.0,6.0,830.0,7,13495
1998,Mysore Road,2 BHK,883.0,2.0,40.0,2,4530
1999,Yeshwanthpur,1 BHK,671.0,1.0,36.85,1,5491
2000,Kammasandra,2 BHK,1156.0,2.0,32.0,2,2768
2001,Haralur Road,3 BHK,2017.0,3.0,125.0,3,6197
2002,Thigalarapalya,4 BHK,3122.0,6.0,235.0,4,7527
2003,Ramagondanahalli,3 BHK,1635.0,3.0,62.0,3,3792
2004,other,7 Bedroom,4400.0,9.0,120.0,7,2727
2005,Kanakpura Road,2 BHK,1296.0,2.0,89.0,2,6867
2006,other,6 Bedroom,2400.0,4.0,280.0,6,11666
2007,Budigere,2 BHK,1139.0,2.0,62.0,2,5443
2008,CV Raman Nagar,2 BHK,1230.0,3.0,47.0,2,3821
2009,other,1 BHK,581.91,2.0,25.0,1,4296
2010,Binny Pete,2 BHK,1245.0,2.0,86.28,2,6930
2011,other,3 Bedroom,1158.0,2.0,85.0,3,7340
2012,Marathahalli,4 BHK,3951.0,4.0,220.0,4,5568
2013,Electronic City,2 BHK,550.0,1.0,15.0,2,2727
2014,Ramamurthy Nagar,1 BHK,360.0,1.0,26.0,1,7222
2015,Electronics City Phase 1,3 BHK,1350.0,3.0,55.0,3,4074
2016,Green Glen Layout,3 BHK,1670.0,3.0,120.0,3,7185
2017,Akshaya Nagar,3 BHK,1600.0,2.0,65.0,3,4062
2018,Horamavu Banaswadi,2 BHK,1307.0,2.0,51.6,2,3947
2019,7th Phase JP Nagar,3 BHK,1050.0,2.0,57.0,3,5428
2020,Hennur Road,3 BHK,1703.0,3.0,101.0,3,5930
2021,Kaggalipura,3 BHK,1210.0,2.0,58.0,3,4793
2022,Electronic City,2 BHK,1025.0,2.0,29.6,2,2887
2023,Haralur Road,2 BHK,1140.0,2.0,43.0,2,3771
2024,7th Phase JP Nagar,3 BHK,1343.0,2.0,56.41,3,4200
2025,R.T. Nagar,3 BHK,1560.0,3.0,85.0,3,5448
2026,other,2 BHK,925.0,2.0,51.0,2,5513
2027,Kanakpura Road,3 BHK,1420.0,2.0,75.0,3,5281
2028,other,2 BHK,1415.0,2.0,110.0,2,7773
2029,other,2 BHK,1210.0,2.0,60.0,2,4958
2030,Yeshwanthpur,3 BHK,1852.0,3.0,160.0,3,8639
2031,Hoskote,3 BHK,1250.0,3.0,50.0,3,4000
2032,9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2,5909
2033,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500
2034,Jakkur,2 BHK,1100.0,2.0,53.35,2,4850
2035,Magadi Road,2 Bedroom,1350.0,1.0,100.0,2,7407
2036,Panathur,3 BHK,1546.0,3.0,99.0,3,6403
2037,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320
2038,Bellandur,3 BHK,1398.0,3.0,68.0,3,4864
2039,Indira Nagar,3 BHK,1650.0,3.0,200.0,3,12121
2040,HBR Layout,4 Bedroom,1200.0,4.0,120.0,4,10000
2041,Brookefield,3 BHK,1476.0,3.0,105.0,3,7113
2042,other,2 Bedroom,500.0,2.0,70.0,2,14000
2043,Magadi Road,3 BHK,1322.0,2.0,58.82,3,4449
2044,other,2 Bedroom,432.0,2.0,40.0,2,9259
2045,other,2 BHK,1100.0,2.0,55.0,2,5000
2046,other,4 BHK,4750.0,5.0,600.0,4,12631
2047,Sarjapur,3 BHK,1285.0,2.0,68.0,3,5291
2048,Ambalipura,2 BHK,1150.0,2.0,80.0,2,6956
2049,Thanisandra,3 BHK,1430.0,2.0,56.0,3,3916
2050,Marathahalli,3 BHK,1350.0,2.0,62.0,3,4592
2051,other,3 Bedroom,1350.0,3.0,195.0,3,14444
2052,Thubarahalli,2 BHK,1185.0,2.0,65.0,2,5485
2053,Bannerghatta Road,3 BHK,1760.0,3.0,67.0,3,3806
2054,other,4 Bedroom,2400.0,5.0,350.0,4,14583
2055,Kanakpura Road,2 BHK,900.0,2.0,41.0,2,4555
2056,Kanakpura Road,2 BHK,1297.0,2.0,105.0,2,8095
2057,other,3 BHK,1840.0,3.0,155.0,3,8423
2058,Ramamurthy Nagar,2 BHK,950.0,2.0,50.79,2,5346
2059,Chikkabanavar,5 Bedroom,1200.0,4.0,70.0,5,5833
2060,BTM 2nd Stage,2 BHK,950.0,2.0,52.0,2,5473
2061,Yeshwanthpur,2 BHK,1277.5,2.0,95.815,2,7500
2062,Electronic City,3 BHK,1571.0,3.0,89.0,3,5665
2063,Electronic City Phase II,2 BHK,1031.0,2.0,55.0,2,5334
2064,Whitefield,2 BHK,1485.0,2.0,90.0,2,6060
2065,Ananth Nagar,2 BHK,1109.0,2.0,60.0,2,5410
2066,Koramangala,3 BHK,2200.0,3.0,180.0,3,8181
2067,Whitefield,1 BHK,950.0,1.0,50.0,1,5263
2068,Laggere,3 Bedroom,1200.0,2.0,150.0,3,12500
2069,Hosa Road,2 BHK,1161.0,2.0,55.15,2,4750
2070,Basavangudi,3 BHK,2350.0,3.0,300.0,3,12765
2071,Electronic City Phase II,2 BHK,1003.0,2.0,40.6,2,4047
2072,other,2 Bedroom,1350.0,2.0,185.0,2,13703
2073,9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2,3425
2074,Hulimavu,2 BHK,1255.0,2.0,73.0,2,5816
2075,Banaswadi,2 BHK,1250.0,2.0,60.0,2,4800
2076,Brookefield,4 Bedroom,1700.0,4.0,152.0,4,8941
2077,Ramamurthy Nagar,3 Bedroom,1200.0,2.0,66.0,3,5500
2078,other,2 BHK,824.0,2.0,60.0,2,7281
2079,1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906
2080,Bommasandra Industrial Area,3 BHK,1320.0,2.0,38.12,3,2887
2081,Kothanur,5 Bedroom,9600.0,5.0,550.0,5,5729
2082,Uttarahalli,3 BHK,1330.0,2.0,47.0,3,3533
2083,Kaikondrahalli,3 BHK,1220.0,3.0,56.0,3,4590
2084,Electronic City,3 BHK,1111.0,3.0,50.0,3,4500
2085,Kothannur,2 BHK,1197.0,2.0,47.88,2,4000
2086,Marathahalli,4 BHK,2519.0,5.0,185.0,4,7344
2087,other,3 BHK,1340.0,2.0,100.0,3,7462
2088,Old Madras Road,4 Bedroom,1450.0,3.0,132.0,4,9103
2089,Hoodi,3 BHK,1837.0,3.0,145.0,3,7893
2090,Haralur Road,4 Bedroom,1200.0,4.0,245.0,4,20416
2091,Kudlu Gate,2 BHK,1238.0,2.0,55.0,2,4442
2092,7th Phase JP Nagar,3 BHK,1405.0,2.0,59.01,3,4200
2093,Doddaballapur,4 BHK,1690.0,3.0,80.0,4,4733
2094,other,3 BHK,1620.0,2.0,110.0,3,6790
2095,Kanakpura Road,3 BHK,1673.0,3.0,115.0,3,6873
2096,Margondanahalli,2 Bedroom,1090.0,2.0,58.0,2,5321
2097,Varthur,2 BHK,1112.0,2.0,40.0,2,3597
2098,Marathahalli,3 BHK,1385.0,2.0,66.65,3,4812
2099,Electronic City Phase II,2 BHK,545.0,1.0,27.0,2,4954
2100,Subramanyapura,2 BHK,985.0,2.0,58.0,2,5888
2101,Kanakpura Road,1 BHK,825.0,1.0,36.29,1,4398
2102,Kanakpura Road,2 BHK,1080.0,2.0,37.8,2,3499
2103,Hosa Road,2 BHK,1430.0,2.0,97.52,2,6819
2104,Kengeri Satellite Town,2 BHK,1050.0,2.0,43.0,2,4095
2105,Kumaraswami Layout,4 Bedroom,2000.0,4.0,139.0,4,6950
2106,Banashankari Stage VI,4 Bedroom,4800.0,4.0,190.0,4,3958
2107,other,3 BHK,1533.0,3.0,115.0,3,7501
2108,other,4 Bedroom,2800.0,3.0,500.0,4,17857
2109,Malleshwaram,3 BHK,2610.0,3.0,399.0,3,15287
2110,Lakshminarayana Pura,3 BHK,1750.0,3.0,150.0,3,8571
2111,TC Palaya,3 Bedroom,1200.0,2.0,66.0,3,5500
2112,Prithvi Layout,2 BHK,1352.0,2.0,87.5,2,6471
2113,Harlur,3 BHK,1754.0,3.0,125.0,3,7126
2114,other,3 BHK,1560.0,3.0,85.0,3,5448
2115,Bannerghatta,4 BHK,3012.0,6.0,268.0,4,8897
2116,Whitefield,4 BHK,3584.0,4.0,199.0,4,5552
2117,Channasandra,3 BHK,1470.0,2.0,90.0,3,6122
2118,9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2,4347
2119,Whitefield,4 Bedroom,2400.0,5.0,329.0,4,13708
2120,Kammanahalli,2 BHK,1160.0,2.0,52.0,2,4482
2121,Jakkur,2 BHK,1100.0,2.0,52.0,2,4727
2122,Horamavu Agara,2 BHK,1170.0,2.0,38.0,2,3247
2123,Bannerghatta Road,1 BHK,595.0,1.0,31.83,1,5349
2124,HSR Layout,3 BHK,1650.0,3.0,110.0,3,6666
2125,1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533
2126,other,4 BHK,800.0,4.0,80.0,4,10000
2127,other,3 BHK,1375.0,2.0,48.06,3,3495
2128,Ramagondanahalli,2 BHK,1235.0,2.0,46.8,2,3789
2129,other,1 BHK,750.0,1.0,25.0,1,3333
2130,7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3,8214
2131,Poorna Pragna Layout,3 BHK,1270.0,2.0,50.79,3,3999
2132,Bannerghatta Road,2 BHK,1105.0,2.0,51.0,2,4615
